compound_id,development_row_id,Canonical SMILES,screening_fold
5271b2e8bd881291d196,0,BC(=O)O,2
91893286cd26d646f830,1,BrC(Br)Br,4
00b72690ee1660e562f7,2,BrC(Br)C(Br)Br,4
5499aaed7a5bef3b980b,3,BrC12CC3CC(C1)C1(NCCS1)C(C3)C2,2
9ad808a273c83e53ca56,4,BrCC(Br)Oc1cccc2cccnc12,1
45e2a4ddd62d292a6deb,5,BrCC1CCCC(CBr)N1,3
20d2c784289094be1623,6,BrCC1CN=C(NCCNC2=NCC(CBr)S2)S1,1
f8b2063875a184d0745c,7,BrCC1CO1,1
f99971b6b4d6616d3ee1,8,BrCC1CSC(c2ccccc2)S1,2
91b957e46da539f587a4,9,BrCCBr,5
9d2ad1e4f9837544c35e,10,BrCCCBr,4
ecaf8d31dcd887842598,11,BrCCCCBr,4
a0f4846c1c8a90d8d460,12,BrCCCCCCBr,4
68c21ebc0ed705a323b4,13,BrCCN(CCBr)c1ccccc1,1
38f16c28177a75737d56,14,BrCCN(CCOc1ccccc1)CCOc1ccccc1,3
4dfa1eb012de7986ff06,15,BrCCN(Cc1ccccc1)C1c2ccccc2-c2ccccc21,4
99d96685e65fe91b4dba,16,BrCCN(Cc1ccccc1)c1cccs1,5
990a750c8f8a869e3864,17,BrCCNCCI,1
7cb5f43bf635a00b6e6a,18,BrCCNc1ccccc1,4
12a31eb573f51637ca3a,19,BrCCSCCSCCBr,3
962e447dc84d2c10166b,20,BrN=C1C=CC(=NBr)C=C1,3
639349889f6c893c1c84,21,Brc1ccc(-c2nnn(CCN3CCCCC3)n2)cc1,4
88e486b9bf2710599ec9,22,Brc1ccc(Br)cc1,3
2d7c704f656bb2461926,23,Brc1ccc(C(OCCNN2CCCC2)c2ccccc2)cc1,1
16a143f7f7ddd9bb5645,24,Brc1ccc(C23OCC(C4CCCCC4)(CO2)CO3)cc1,5
89d84b1a2b75ea9ad8b4,25,Brc1ccc(C2=NCCS2)cc1,5
1acc052f4e88c2347490,26,Brc1ccc(C2CNC2)cc1,3
fd63d9a9e35c6a4a4652,27,Brc1ccc(C2NCCS2)cc1,3
db70e24d98cba3f3d6ef,28,Brc1ccc(C2SCCS2)cc1,4
84b0eedbb8ad10fb18cd,29,Brc1ccc(CC=CCN2CCCCC2)cc1,2
3c727386d8aea1f3cfe8,30,Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,2
4071467aacbfd9f97133,31,Brc1ccc(NCCc2nn[nH]n2)cc1,3
f165728a6bfbb924c79e,32,Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,4
3d4c346c82b6378367a7,33,Brc1ccc(OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc2ccc(Br)cn2)nc1,1
650b69535abb1ab8d8fd,34,Brc1ccc(OCCCCCCCCN2CCSC2)nc1,1
f8029c533e2eb11dec0b,35,Brc1ccc(OCCCCCCCN2CCSC2)nc1,2
26c60bbd8c87b8389c59,36,Brc1ccc(OCCCCCCN2CCSC2)nc1,4
2b45568786a48d33ac93,37,Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,4
35541ae7d8771af02b24,38,Brc1ccc(OCCCCCN2CCSC2)nc1,3
90c2da93839d974c49da,39,Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,4
e74c965497ca11702232,40,Brc1ccc(OCCCCN2CCSC2)nc1,5
3aac187c549707429f62,41,Brc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,2
6b06683df76b35e5eea7,42,Brc1ccc(OCCCN2CCSC2)nc1,3
3365f4f85c05781e818e,43,Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,2
f7edce4be5a6e2f10e21,44,Brc1ccc(OCCN2CCSC2)nc1,2
fcf08cb12dbadb910258,45,Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,4
d67577c4383d117f15ac,46,Brc1ccc(Oc2ccc(Br)cc2)cc1,1
5af32d01a1487da4ebbe,47,Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,3
950b41af8409cd65ff87,48,Brc1ccc(SCCCCCCCN2CCSC2)nc1,4
b27fe13bfb45fade8390,49,Brc1ccc(SCCCCCCN2CCSC2)nc1,2
7cc129cc81279f3f31b3,50,Brc1ccc(SCCCCCN2CCSC2)nc1,3
165e423612410696cc65,51,Brc1ccc(SCCCCN2CCSC2)nc1,4
e3835eb1d88761881cde,52,Brc1ccc([Si]23OCCN(CCO2)CCO3)cc1,2
fa78a66cd01505f6f992,53,Brc1ccc2[nH]cc(C3CCCN3Cc3ccccc3)c2c1,5
6046e28a7ac60e8628aa,54,Brc1ccc2c(c1)OCCOCCOCCOCCO2,2
07a13c94b0170da5d8e4,55,Brc1ccc2oc(-c3ncc[nH]3)cc2c1,5
69ad04bd450a0b560612,56,Brc1cccc(Br)c1,4
e974b7c58a4b92519286,57,Brc1cccc(C2=NCCS2)c1,2
c86f77ae87be65882cce,58,Brc1cccc(C2NCCCS2)c1,4
8ebf70b3aaa07b6a1215,59,Brc1cccc(C2NCCS2)c1,2
1462c3e0e499d4986ba9,60,Brc1cccc(C2SCCS2)c1,5
0c51e28d52069487ccb2,61,Brc1cccc(OCCCCCN2CCSC2)n1,1
cd24524ac3487aa1ebd3,62,Brc1cccc2ccccc12,3
5c5074e3a86469e935e8,63,Brc1ccccc1,3
df870b88634b5414ac9d,64,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12,3
731ec247cd7cfd081356,65,Brc1ccccc1Br,4
